country,state,city,station,last_update,latitude,longitude,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,CO_AQI,NH3_AQI,NO2_AQI,OZONE_AQI,PM10_AQI,PM2.5_AQI,SO2_AQI,Overall_AQI,AQI_Category,Air_Quality_Index,PM_Ratio,CO_Level,NH3_Level,NO2_Level,OZONE_Level,PM10_Level,PM2.5_Level,SO2_Level,Region,Dominant_Pollutant
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",04-09-2025 08:00:00,16.5150833,80.5181667,16.0,4.0,21.0,8.0,65.0,26.0,14.0,78,1,26,8,65,43,18,78,Satisfactory,44.666666666666664,0.3939393939393939,High,Low,Low,Low,Medium,Medium,Low,South,CO
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",04-09-2025 08:00:00,14.675886,77.593027,36.0,6.0,19.0,14.0,52.0,54.0,14.0,256,2,24,14,52,90,18,256,Poor,55.333333333333336,1.0188679245283019,High,Low,Low,Low,Medium,High,Low,South,CO
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",04-09-2025 08:00:00,13.20488,79.097889,47.0,9.0,27.0,49.0,72.0,71.0,25.0,367,2,34,49,72,135,31,367,Very Poor,80.33333333333333,0.9726027397260274,High,Low,Low,Low,Medium,High,Low,South,CO
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",04-09-2025 08:00:00,14.465052,78.824187,22.0,5.0,11.0,37.0,74.0,69.0,21.0,112,1,14,37,74,128,26,128,Moderate,72.0,0.92,High,Low,Low,Low,Medium,High,Low,South,PM2.5
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",04-09-2025 08:00:00,16.9872867,81.7363176,10.0,2.0,15.0,10.0,47.0,32.0,9.0,50,0,19,10,47,53,11,53,Satisfactory,39.666666666666664,0.6666666666666666,High,Low,Low,Low,Low,Medium,Low,South,PM2.5
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",04-09-2025 08:00:00,13.67,79.35,23.0,1.0,13.0,10.0,38.0,26.0,3.0,123,0,16,10,38,43,4,123,Moderate,32.333333333333336,0.6666666666666666,High,Low,Low,Low,Low,Medium,Low,South,CO
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",04-09-2025 08:00:00,16.536107,80.594233,46.0,5.0,22.0,8.0,67.0,69.0,16.0,356,1,28,8,67,128,20,356,Very Poor,74.33333333333333,1.0147058823529411,High,Low,Low,Low,Medium,High,Low,South,CO
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",04-09-2025 08:00:00,16.509717,80.612222,18.0,5.0,35.0,54.0,55.0,55.0,26.0,89,1,44,54,55,92,32,92,Satisfactory,63.666666666666664,0.9821428571428571,High,Low,Low,Medium,Medium,High,Low,South,PM2.5
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",04-09-2025 08:00:00,17.72,83.3,36.0,3.0,56.0,10.0,116.0,107.0,10.0,256,1,70,10,111,256,12,256,Poor,145.66666666666666,0.9145299145299145,High,Low,Medium,Low,High,High,Low,South,CO
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",04-09-2025 08:00:00,27.103358,93.679645,9.0,3.0,6.0,5.0,45.0,35.0,8.0,45,1,8,5,45,58,10,58,Satisfactory,37.0,0.7608695652173914,High,Low,Low,Low,Low,Medium,Low,East,PM2.5
